SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,AM,2742,Aurora Village Station,Sunday,7.250,50.750,0.000,0.000,7.250
701,I,AM,2747,238th St SW NB Station,Sunday,1.036,7.250,0.321,2.250,7.964
701,I,AM,2753,Gateway NB Station at 216th St SW,Sunday,1.679,11.750,0.643,4.500,9.000
701,I,AM,2761,Heron NB Station at 200th St SW,Sunday,1.571,11.000,0.393,2.750,10.179
701,I,AM,3247,196th St SW NB Station,Sunday,1.750,12.250,1.607,11.250,10.321
701,I,AM,2767,Cherry Hill NB Station at 176th St SW,Sunday,1.250,8.750,1.107,7.750,10.464
701,I,AM,2777,148th St SW NB Station,Sunday,1.821,12.750,1.250,8.750,11.036
701,I,AM,2779,Lincoln Way NB Station,Sunday,0.857,6.000,0.571,4.000,10.357
701,I,AM,2781,Airport Road NB Station,Sunday,3.083,18.500,3.292,19.750,10.875
701,I,AM,2783,112th St SW NB Station,Sunday,1.375,8.250,0.667,4.000,11.583
701,I,AM,2787,4th Ave W NB Station,Sunday,1.083,6.500,1.417,8.500,11.250
701,I,AM,2795,Casino Rd NB Station,Sunday,2.167,13.000,2.625,15.750,10.792
701,I,AM,2807,Madison St NB Station,Sunday,0.667,4.000,1.125,6.750,10.333
701,I,AM,2815,50th St NB Station,Sunday,0.375,2.250,1.417,8.500,9.292
701,I,AM,2819,40th St NB Station,Sunday,0.333,2.000,0.500,3.000,7.917
701,I,AM,2835,Colby Ave NB Station,Sunday,0.200,1.000,2.800,14.000,6.600
701,I,AM,2838,Everett Station,Sunday,0.000,0.000,6.600,33.000,0.000
701,I,MID,2835,Colby Ave NB Station,Sunday,0.375,6.750,4.097,73.750,7.000
701,I,MID,2838,Everett Station,Sunday,0.000,0.000,7.000,126.000,0.000
701,I,MID,2779,Lincoln Way NB Station,Sunday,1.417,25.500,0.903,16.250,14.417
701,I,MID,2781,Airport Road NB Station,Sunday,5.778,104.000,3.569,64.250,16.958
701,I,MID,2783,112th St SW NB Station,Sunday,2.222,40.000,1.944,35.000,17.236
701,I,MID,2787,4th Ave W NB Station,Sunday,1.486,26.750,2.958,53.250,15.764
