SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,AM,2742,Aurora Village Station,Saturday,0,6.757,94.600,0.000,0.000,6.757
701,I,AM,2747,238th St SW NB Station,Saturday,1,0.971,13.600,0.314,4.400,7.414
701,I,AM,2753,Gateway NB Station at 216th St SW,Saturday,2,1.471,20.600,0.771,10.800,8.114
701,I,AM,2761,Heron NB Station at 200th St SW,Saturday,3,1.214,17.000,0.500,7.000,8.329
701,I,AM,3247,196th St SW NB Station,Saturday,4,1.692,22.000,1.400,18.200,8.923
701,I,AM,2767,Cherry Hill NB Station at 176th St SW,Saturday,5,0.585,7.600,1.015,13.200,8.492
701,I,AM,2777,148th St SW NB Station,Saturday,6,1.569,20.400,1.123,14.600,8.938
701,I,AM,2779,Lincoln Way NB Station,Saturday,7,0.708,9.200,0.400,5.200,9.246
701,I,AM,2781,Airport Road NB Station,Saturday,8,2.846,37.000,2.400,31.200,9.292
701,I,AM,2783,112th St SW NB Station,Saturday,9,1.167,14.000,0.633,7.600,9.967
701,I,AM,2787,4th Ave W NB Station,Saturday,10,1.667,20.000,1.867,22.400,9.767
701,I,AM,2795,Casino Rd NB Station,Saturday,11,1.933,23.200,1.717,20.600,9.983
701,I,AM,2807,Madison St NB Station,Saturday,12,0.683,8.200,1.100,13.200,9.567
701,I,AM,2815,50th St NB Station,Saturday,13,0.667,8.000,1.133,13.600,8.917
701,I,AM,2819,40th St NB Station,Saturday,14,0.383,4.600,0.717,8.600,8.183
701,I,AM,2835,Colby Ave NB Station,Saturday,15,0.291,3.200,2.818,31.000,6.327
701,I,AM,2838,Everett Station,Saturday,16,0.000,0.000,6.327,69.600,0.000
701,I,MID,2819,40th St NB Station,Saturday,14,0.558,13.400,1.083,26.000,10.033
701,I,MID,2835,Colby Ave NB Station,Saturday,15,0.383,9.200,3.817,91.600,6.633
701,I,MID,2838,Everett Station,Saturday,16,0.000,0.000,6.558,157.400,0.000
701,I,MID,2783,112th St SW NB Station,Saturday,9,1.888,47.200,1.368,34.200,15.872
701,I,MID,2787,4th Ave W NB Station,Saturday,10,2.342,56.200,3.242,77.800,15.342
701,I,MID,2795,Casino Rd NB Station,Saturday,11,2.392,57.400,5.825,139.800,11.908
701,I,MID,2807,Madison St NB Station,Saturday,12,1.000,24.000,1.850,44.400,11.058
701,I,MID,2815,50th St NB Station,Saturday,13,1.288,32.200,1.680,42.000,10.096
701,I,MID,2761,Heron NB Station at 200th St SW,Saturday,3,1.080,27.000,0.816,20.400,11.016
701,I,MID,3247,196th St SW NB Station,Saturday,4,3.712,92.800,1.720,43.000,13.048
701,I,MID,2767,Cherry Hill NB Station at 176th St SW,Saturday,5,1.992,47.800,2.042,49.000,13.367
701,I,MID,2777,148th St SW NB Station,Saturday,6,2.508,60.200,1.850,44.400,14.025
701,I,MID,2779,Lincoln Way NB Station,Saturday,7,1.350,32.400,1.125,27.000,14.067
701,I,MID,2781,Airport Road NB Station,Saturday,8,4.704,117.600,3.056,76.400,15.048
701,I,MID,2742,Aurora Village Station,Saturday,0,9.925,238.200,0.000,0.000,9.925
701,I,MID,2747,238th St SW NB Station,Saturday,1,1.375,33.000,1.033,24.800,10.267
701,I,MID,2753,Gateway NB Station at 216th St SW,Saturday,2,1.942,46.600,1.167,28.000,11.042
701,I,PM,2815,50th St NB Station,Saturday,13,1.424,24.200,1.635,27.800,9.588
701,I,PM,2819,40th St NB Station,Saturday,14,0.562,9.000,1.375,22.000,9.438
701,I,PM,2835,Colby Ave NB Station,Saturday,15,0.575,9.200,3.438,55.000,6.575
